id,started_date,crop,crop_variety,seed_brand,medium,format,seed_weight_oz,seed_media_treatment_notes,first_emerge_date,full_emerge_date,emergence_notes,date_of_first_transplant,date_of_second_transplant,harvested_on,harvest_weight_oz,hrvst_wt_lbs,harvest_week,harvest_notes,created_at,updated_at,flat_id,date_of_third_transplant,former_flat_id,seed_treatments_id,days_to_harvest_from_sew,days_to_harvest_from_soak,room_id,current_system_id,exclude_from_freshlist,force_onto_freshlist,sewn_for
55,2018-01-31,kale,red russian,mountain valley seed co,biostrate felt,matt,0.4,no treatment,2018-02-04,2018-02-04,"",2018-02-07,2018-02-12,2018-10-05,7.06,0.44125,40,formerly flat # BUMP | ,2018-01-31 11:01:26 -0800,2018-10-05 09:38:26 -0700,,,,,,,1,,,,
56,2018-01-31,kale,red russian,mountain valley seed co,biostrate felt,matt,0.4,no treatment,2018-02-26,2018-02-02,"",2018-02-07,2018-02-12,2018-10-05,8.59,0.536875,40,formerly flat # 88 | ,2018-01-31 11:01:45 -0800,2018-10-05 09:38:26 -0700,,,,,,,1,,,,
48,2018-01-29,kale,red russian,mountain valley seed co,biostrate felt,matt,0.4,no treatment,2018-01-30,2018-01-31,"",2018-02-05,2018-02-09,2018-10-05,7.04,0.44,40,formerly flat # 81 | 4.6oz on Feb20 for Revelry,2018-01-29 13:52:34 -0800,2018-10-05 09:38:26 -0700,,2018-02-23,,,,,1,,,,
1377,2018-10-24,sunflower,black oil,kitazawa seed co,biostrate felt,matt,4.0,"",2018-10-22,2018-10-23,"",,,2018-11-06,11.17,0.698125,45,"",2018-10-24 16:45:57 -0700,2018-11-05 17:56:59 -0800,,,LIGHT,87,13,16,1,,,,
16,2018-01-22,broccoli,waltham 29,mountain valley seed co,biostrate felt,matt,0.4,no treatment,2018-01-24,2018-01-24,"",2018-02-01,2018-02-02,2018-10-05,5.41,0.338125,40,formerly flat # 106 | ,2018-01-22 14:50:47 -0800,2018-10-05 09:38:26 -0700,,2018-02-25,,,,,1,,,,
50,2018-01-29,broccoli,waltham 29,mountain valley seed co,biostrate felt,matt,0.4,no treatment,2018-01-30,2018-01-31,"",2018-02-05,2018-02-12,2018-10-05,6.6,0.4125,40,formerly flat # 83 | 4.5oz harvested Feb20 for Revelry,2018-01-29 13:57:10 -0800,2018-10-05 09:38:26 -0700,,2018-02-23,,,,,1,,,,
64,2018-02-05,radish,red arrow,mountain valley seed co,biostrate felt,matt,0.4,no treatment,2018-02-06,2018-02-06,"",2018-02-09,,2018-10-05,8.11,0.506875,40,"",2018-02-04 22:10:50 -0800,2018-10-05 09:38:26 -0700,,,,,,,1,,,,
60,2018-02-02,radish,red arrow,mountain valley seed co,biostrate felt,matt,0.4,no treatment,2018-02-03,2018-02-03,"",2018-02-07,2018-02-14,2018-10-05,13.18,0.82375,40,"",2018-02-02 09:30:38 -0800,2018-10-05 09:38:26 -0700,,2018-02-14,,,,,1,,,,
67,2018-02-05,pea,dun,handy pantry seeds & grain,biostrate felt,matt,0.8,no treatment,2018-02-07,2018-02-07,"",2018-02-12,2018-02-18,2018-10-05,2.91,0.181875,40,"",2018-02-04 22:32:30 -0800,2018-10-05 09:38:26 -0700,,,,,,,1,,,,
46,2018-01-24,kale,red russian,mountain valley seed co,biostrate felt,matt,0.4,no treatment,2018-01-25,2018-01-26,"",2018-02-01,2018-02-07,2018-10-05,8.94,0.55875,40,"",2018-01-24 11:47:03 -0800,2018-10-05 09:38:26 -0700,,,,,,,1,,,,
72,2018-02-07,sunflower,black oil,rexseed,biostrate felt,matt,1.5,48hr nut sol soak,2018-02-09,,"",,,2018-10-05,0.0,0.0,40,"huge, scary mold. killed on feb 15",2018-02-06 18:02:29 -0800,2018-10-05 09:38:26 -0700,,,,,,,1,,,,
